,Laser intensity [%],Calibrated laser intensity [%],Average adc [a.u],Average adc error [a.u],Incident photons / mm_sq
0,1.0,7.5566597994424765,5.519506293804177,25.39861260823015,0.3415641754883615
1,2.0,7.559994739738662,5.769748747737929,25.85905819086731,0.3570499549947665
2,3.0,7.564926464744961,6.139808436397084,26.639059778475268,0.379950396757145
3,4.0,7.565958831895662,6.2172737179935815,26.910765776770134,0.38474418874306643
4,5.0,7.572878809692711,6.736525060238554,27.861999927659635,0.4168770729439991
5,6.0,7.586699178558473,7.773558023975443,29.912615674987727,0.4810518904653884
6,7.0,7.615746429924845,9.953163898859216,33.94285154786371,0.6159326649252277
15,8.0,7.786438504955811,22.7613103510333,50.58181694134452,1.408540508743049
7,8.5,8.284349861277402,60.122866655335486,64.35423883503948,3.720589538991645
8,8.7,8.48351440380604,75.06748917705632,80.35064520361345,4.645409151091081
10,9.0,8.782261217598995,97.48442295963768,104.34525475647453,6.032638569240242
11,9.5,9.888903240796312,180.52303562323158,116.69190981354967,11.171325574629883
9,10.0,10.995545263993629,263.5616482868255,170.3689060291805,16.310012580019524
16,11.0,13.107506498487279,422.0359581679481,216.37406864992744,26.116894592527498
12,12.0,14.39614906760443,518.7312660594487,239.2518664071144,32.10070027287037
17,13.0,15.404278641309457,594.3778432097902,255.7545585126204,36.78194518455337
13,14.0,16.324340288475447,663.4161059398714,270.33208414404504,41.054247095508615
14,15.0,17.006820117396252,714.6270458612863,281.57099435765457,44.22333895611166
18,16.0,17.891750235807855,781.0291594597026,293.8435256624269,48.33250777930645
20,17.0,18.5848600620074,833.0377378298125,302.2087996616792,51.5509599820423
21,18.0,19.241353099175207,882.2987182435338,312.2112502835926,54.59938229793829
22,19.0,19.86723088076531,929.262435137324,320.6157781699815,57.50564281922857
19,20.0,20.433753280641376,971.7723282576312,327.00206903952386,60.13628690600769
23,21.0,21.0,1051.9714304282184,341.93847204808327,65.0992561916036
25,22.0,22.0,1097.2533068716943,348.1833977547289,67.90143920738231
26,23.0,23.0,1156.339390515802,358.418576336772,71.55786939668938
27,24.0,24.0,1224.687174436857,367.9000814620528,75.78744233651148
24,25.0,25.0,1295.6799158159947,377.9093830388564,80.18069345066337
28,26.0,26.0,1372.9792989332027,390.61703252972086,84.96421912393346
30,27.0,27.0,1455.2291814555235,402.55450193637796,90.05409706089443
31,28.0,28.0,1530.851023305572,412.8063979349329,94.73381127544614
32,29.0,29.0,1611.7592307461582,424.502220961078,99.74066219537475
29,30.0,30.0,1677.8123637745207,433.3634399837034,103.82823501807115
33,40.0,40.0,2381.680519754065,492.2673931077935,147.38578048541507
34,50.0,50.0,3196.776067847211,1112.4332472559643,197.82642209518926
35,60.0,60.0,3977.294981702538,1245.5331565911806,246.12735429329732
36,70.0,70.0,4781.310378765654,1362.9079107713123,295.88232177763257
37,80.0,80.0,5522.809096628079,1463.0064203761035,341.7685631751031
38,90.0,90.0,6248.647209329669,1550.2528911934708,386.68567773320143
39,100.0,100.0,6954.929865644332,1629.010450242963,430.3926399730395
